Laboratory Manager | BENGUERIR (Maroc), required education: ph.d. degree in applied physics or engineering field (ie, electrical engineering or optical engineering) strong knowledge of computing laboratory mechanisms, analog, and digital electronics, circuitry, telecommunications, cad tools, matlab, cryogenics, and optics.  he/she is skilled in the handling of electrical and optical components. Au cœur de la future Ville Verte Mohammed VI à Benguérir, Maroc et située à 30 mn de Marrakech par autoroute ; l’Université Mohammed VI Polytechnique (UM6P),... The laboratory manager will be responsible for the day-to-day operation of the five research platforms and facilities at the UM6P Institute of Applied Physics... 22/12/2021 22/02/2022 1, Publication : du 22/12/2021 au 22/02/2022 | Postes proposés: 1, Au cœur de la future Ville Verte Mohammed VI à Benguérir, Maroc et située à 30 mn de Marrakech par autoroute ; l’Université Mohammed VI Polytechnique (UM6P),...
R&D Consultant ICT (Information & communication technology) | Casablanca (Maroc), - a graduate from a top ranked engineering schools in (ict) field - having an international outlook in terms of studies or professional experiences, particularly in france ; - having at least 3 years relevant work experience, ideally in consulting field ; - excellent writing and communication skills in french with an analytical mind - curiosity, dynamism, adaptability, good interpersonal skills and team spirit are your key success factors ; Leyton: Thanks to our unique methods and 23 years of knowledge and experience, our clients can benefit from complementary sources of financing while remaining focused... Thanks to our unique methods and 23 years of knowledge and experience, our clients can benefit from complementary sources of financing while remaining focused... 19/12/2021 19/02/2022 4, Publication : du 19/12/2021 au 19/02/2022 | Postes proposés: 4, Leyton: Thanks to our unique methods and 23 years of knowledge and experience, our clients can benefit from complementary sources of financing while remaining focused...
engineering R&D Technical Consultant | Casablanca (Maroc), we're recruiting mechanical and general engineers with the following qualities: Fondé à Paris en 1997, Leyton est un cabinet de conseil international dédié au développement... The primary focus of the role will be to provide advice to companies by investigating their latest R&D projects to identify where qualifying work is... 16/12/2021 30/01/2022, Publication : du 16/12/2021 au 30/01/2022, Fondé à Paris en 1997, Leyton est un cabinet de conseil international dédié au développement...
Maintenance Technician - Tanger Med II | Tanger (Maroc), able to interpret engineering drawings, layouts, and specifications   APM Terminals is a port infrastructure leader, uniquely positioned to help both shipping line and landside customers grow their business and... Under guidance of the shift engineer, this position provides technical skills in repairs works on all terminal equipment. Responsibilities... 16/12/2021 16/02/2022 1, Publication : du 16/12/2021 au 16/02/2022 | Postes proposés: 1,   APM Terminals is a port infrastructure leader, uniquely positioned to help both shipping line and landside customers grow their business and...
Operations Supervisor - Tanger Med II | Tanger (Maroc), requires a master in operational research (or any related field) or engineering degree   APM Terminals is a port infrastructure leader, uniquely positioned to help both shipping line and landside customers grow their business and... Key Responsibilities Under guidance of the Execution Manager this position supervises a group of foremen, quay crane checkers, operators & drivers... 15/12/2021 15/02/2022 1, Publication : du 15/12/2021 au 15/02/2022 | Postes proposés: 1,   APM Terminals is a port infrastructure leader, uniquely positioned to help both shipping line and landside customers grow their business and...
Senior Data engineer spécialise Google Cloud GCP/DevOps/Big Data (Casablanca) | casablanca (Maroc), senior data engineer spécialise google cloud gcp/devops/big data (casablanca) engineer Preci: Nous sommes un cabinet de recrutement spécialisé dans les Cadres et Dirigeants pour le secteur IT. Senior Data Engineer spécialise Google Cloud GCP/DevOps/Big Data (Casablanca) Vous contribuez à des projets très innovants et complexes... 13/12/2021 28/12/2021 1, Publication : du 13/12/2021 au 28/12/2021 | Postes proposés: 1, engineer
Global Reporting Analyst | Rabat (Maroc), profil recherché • de formation académique en data analyst ou data engineering ou bi ou data science • vous maitrisez l’anglais (minimum requis b2) et le français à l'écrit et à l'oral • vous avez de très bonnes connaissances en power bi, sql server • vous êtes doté d’esprit d'analyse et de synthèse • vous avez le goût des chiffres • vous avez de bonnes connaissances en langages de programmation power bi (dax, m query) • vous connaissez les techniques d’analyse de données et des éléments qui composent le système bi • vous maîtrisez les systèmes de gestion de bases de données relationnelles (ex : mdx cube) • vous êtes autodidacte et animé par l’auto-formation • vous êtes reconnu pour votre force de proposition, autonomie et esprit d’équipe • rigueur, réactivité, autonomie sont des atouts majeurs pour mener à bien votre mission Webhelp Maroc: Webhelp est leader européen de l’externalisation de la relation client. Fort de ses 55 000 collaborateurs, Webhelp accompagne plus de 500 clients... Mission • Traiter les différentes données des clients globaux webhelp afin de dégager des observations utiles à... 09/12/2021 09/02/2022 3, Publication : du 09/12/2021 au 09/02/2022 | Postes proposés: 3, Webhelp Maroc: Webhelp est leader européen de l’externalisation de la relation client. Fort de ses 55 000 collaborateurs, Webhelp accompagne plus de 500 clients...
Proxy Product Owner (English Speakers) | Casablanca (Maroc), bachelor's degree in software development, computer engineering, it project management or related field; Leyton: Thanks to our unique methods and 23 years of knowledge and experience, our clients can benefit from complementary sources of financing while remaining focused... Define product roadmap for the next 12 months Plays a key part of development events including planning, refinement, review, retrospective, sprints and... 08/12/2021 08/02/2022 2, Publication : du 08/12/2021 au 08/02/2022 | Postes proposés: 2, Leyton: Thanks to our unique methods and 23 years of knowledge and experience, our clients can benefit from complementary sources of financing while remaining focused...
DevOps engineer | Casablanca (Maroc), higher education bac +5 in computer engineering / networks and systems. Leyton: Thanks to our unique methods and 23 years of knowledge and experience, our clients can benefit from complementary sources of financing while remaining focused... As a Devops Engineer, your mail mission will be to ensure the proper functioning of the company's application servers, as well as respect for the... 08/12/2021 08/02/2022 1, Publication : du 08/12/2021 au 08/02/2022 | Postes proposés: 1, Leyton: Thanks to our unique methods and 23 years of knowledge and experience, our clients can benefit from complementary sources of financing while remaining focused...
Industrial engineer - EMEA New Business Quote Estimator – German speaker | tanger (Maroc), engineering , master degree or equivalent, german speaker is mandatory, fluent french & english ability to work in multinational environment. team spirit and ability to manage multiple projects in parallel. transversal management skills and good communication level. good level of computing, ms office: excel, powerpoint word … Aptiv Maroc (ex Delphi): Some see technology. We see a way to make connections. At Aptiv, we don’t just see the world differently; we work to change reality. That means... Role: Define the Manufacturing System for business under quote in EMEA region according to customers specifications & APTIV rules, and support new... 06/12/2021 06/02/2022 2, Publication : du 06/12/2021 au 06/02/2022 | Postes proposés: 2, Aptiv Maroc (ex Delphi): Some see technology. We see a way to make connections. At Aptiv, we don’t just see the world differently; we work to change reality. That means...
Advisory Lead | Rabat (Maroc), master’s degree in engineering or business. Université Mohammed VI Polytechnique:The Africa Business School (ABS) within Mohammed IV Polytechnic University (UM6P, Morocco) is recruiting an Advisory Lead.   The Africa Business School is... Job Duties may include, but are not limited to:  Preparing commercial proposals and tenders for advisory projects. Supporting business development activities.... 03/12/2021 03/02/2022 1, Publication : du 03/12/2021 au 03/02/2022 | Postes proposés: 1, Université Mohammed VI Polytechnique:The Africa Business School (ABS) within Mohammed IV Polytechnic University (UM6P, Morocco) is recruiting an Advisory Lead.   The Africa Business School is...
Advisory Manager | Rabat (Maroc), master’s degree in engineering or business. Université Mohammed VI Polytechnique:The Africa Business School (ABS) within Mohammed IV Polytechnic University (UM6P, Morocco) is recruiting an Advisory Manager.   The Africa Business School is... Job Duties may include, but are not limited to:  Contribute to preparing commercial proposals and tenders for advisory projects. Contribute to business... 03/12/2021 03/02/2022 1, Publication : du 03/12/2021 au 03/02/2022 | Postes proposés: 1, Université Mohammed VI Polytechnique:The Africa Business School (ABS) within Mohammed IV Polytechnic University (UM6P, Morocco) is recruiting an Advisory Manager.   The Africa Business School is...
Software R&D Technical Consultant | Casablanca (Maroc), we're recruiting software engineers with the following qualities: Founded in 1997, Leyton is an international consulting firm and our teams around the world remain devoted to the economic, ecological and social development... The primary focus of the role will be to provide advice to companies by investigating their latest R&D projects to identify where qualifying work is... 03/12/2021 15/01/2022, Publication : du 03/12/2021 au 15/01/2022, Founded in 1997, Leyton is an international consulting firm and our teams around the world remain devoted to the economic, ecological and social development...
